,line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
70,460,460_TT_12-10-23.pdf,,"Two additional trips scheduled eastbound during weekday PM
peak. Stop restrictions in Downtown LA for this line will be removed and Line 460 will be available to pick up and drop off passengers at each Line 460 stop in both directions. ",Accommodate increased ridership.,"Disneyland: dos viajes adicionales programados hacia el este durante el horario pico vespertino entre semana.
 Se eliminarán las restricciones de paradas en Downtown LA en esta línea, y la Line 460 estará disponible para recoger y dejar pasajeros en cada estación de Line 460 en ambas direcciones. ",Satisfacer las demandas de una mayor cantidad de pasajeros,"Երկու լրացուցիչ ուղևորություններ, որոնք նախատեսված են դեպի արևելք, աշխատանքային օրվա կեսօրից հետո 
պիկ ժամերին։ Այս գծի համար Downtown LA-ում կանգառի սահմանափակումները կվերացվեն, և Line 460-ը հասանելի կլինի ուղևորներ վերցնելու և իջեցնելու համար Line 460-ի յուրաքանչյուր կանգառում երկու ուղղություններով: ",ապահովել ուղևորահոսքի ավելացում։,"預定平日中午過後的
尖峰時段加開兩班東向班次。此路線的Downtown LA停靠限制將取消，Line 460會在每個Line 460雙向停靠站停靠，讓乘客上下車。 ",因應增加的載客量。,"평일 피크 시간대에 남부 방면 운행편이 2회 
증편되었습니다. 본 노선에 대한 Downtown LA의 정류장 제한 조치가 해제되며 Line 460의 경우 각 Line 460 정류장에서 양방향 방면으로 탑승객이 타고 내릴 수 있게 됩니다. ",탑승객 수 증가에 따른 조정 조치입니다.,平日午後ピーク時に東行きが2便追加されます。同路線のDowntown LAにおける停車駅規制は撤廃され、Line 460の各停車駅で両方面の乗客が乗車・降車できるようになります。 ,利用者の増加に対応するため。,"в расписание добавлены два дополнительных рейса в восточном направлении в вечерние часы
пик по будням. Ограничения для остановок в Downtown LA для этого маршрута будут отменены и автобусы Line 460 смогут осуществлять посадку и высадку пассажиров на всех остановках Line 460 в обоих направлениях. ",обеспечить перевозку большего количества пассажиров.,"Thêm hai chuyến về phía đông có lịch trình vào giờ cao điểm buổi chiều
các ngày thường. Các hạn chế điểm dừng tại Downtown LA cho tuyến này sẽ được dỡ bỏ và Line 460 sẽ sẵn sàng đón và trả khách tại mỗi điểm dừng của Line 460 theo cả hai chiều. ",Đáp ứng lượng hành khách tăng cao.
71,487/489,487-489_TT_12-10-23.pdf,,"Service on each line
will be increased from every 40 minutes to every 30 minutes weekday mornings westbound and
weekday afternoons eastbound. The LAC USC Medical Center Busway Station will be renamed
LA General Medical Ctr Station.",Accommodate increased ridership.,"El servicio en cada línea 
se incrementará de cada 40 minutos a cada 30 minutos por la mañana entre semana hacia el oeste y 
por la tarde entre semana hacia el este. La estación de autobús LAC USC Medical Center será renombrada 
Estación LA General Medical Ctr.",Satisfacer las demandas de una mayor cantidad de pasajeros,"Ծառայությունը յուրաքանչյուր գծի վրա
կավելացվի յուրաքանչյուր 40 րոպեից մինչև յուրաքանչյուր 30 րոպե շաբաթվա առավոտից դեպի արևմուտք և 
աշխատանքային օրվա կեսօրին արևելք: LAC USC Medical Center Busway Station-ը կվերանվանվի 
LA General Medical Ctr Station-ի։",ապահովել ուղևորահոսքի ավելացում։,"各路線的班次將會增加，平日早上西向和
平日下午東向的發車間隔從每40分鐘一班縮短為每30分鐘一班。
LAC USC Medical Center Busway Station將更名為LA General Medical Ctr Station。",因應增加的載客量。,"평일 아침
 서부 방면 및 평일 오후 동부 방면의 각 노선별 서비스가
40분 간격에서 30분 간격으로 증편됩니다. LAC USC Medical Center Busway Station의 이름이 
LA General Medical Ctr Station으로 변경됩니다.",탑승객 수 증가에 따른 조정 조치입니다.,各路線とも、平日朝（西行き）、平日午後（東行き）、40分間隔から30分間隔に増便されます。LAC USC Medical Center Busway Stationは、LA General Medical Ctr Stationと改名されます。,利用者の増加に対応するため。,"время ожидания по каждому маршруту
будет сокращено с 40 до 30 минут по утрам в будни в западном направлении и
по вечерам в будни в восточном направлении. Название станции LAC USC Medical Center Busway будет изменено на 
LA General Medical Ctr.",обеспечить перевозку большего количества пассажиров.,"Tần suất phục vụ trên mỗi tuyến
sẽ tăng từ 40 phút/chuyến lên 30 phút/chuyến vào các buổi sáng ngày thường về phía tây và
vào các buổi chiều ngày thường về phía đông. LAC USC Medical Center Busway Station sẽ được đổi tên thành 
LA General Medical Ctr Station.",Đáp ứng lượng hành khách tăng cao.
72,501,501_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
73,550,550_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
74,602,602_TT_12-10-23.pdf,,"Service will be altered eastbound to travel via Westwood Bl, right Kinross Av, left Veteran Bl.",Avoid delays from Purple Line Extension construction impacts at Wilshire Bl/Westwood Bl.,"El servicio se modificará para viajar por Westwood Bl, Kinross Av a la derecha, Veteran Bl a la izquierda.",Evitar demoras por la construcción de la extensión de la Purple Line en Wilshire Bl/Westwood Bl,"Ծառայությունը կփոխվի դեպի արևելք՝ ճանապարհորդելու Westwood Bl, աջ Kinross Av, ձախ Veteran Bl:",խուսափել ուշացումներից՝ Purple Line-ի շինարարական ընդլայնման հետևանքներից Wilshire Blvd/Westwood Bl-ում։,東向的班次路線將改為經由Westwood Bl、Kinross Av右線、Veteran Bl左線。,避免Purple Line延伸線施工延誤對Wilshire Bl/Westwood Bl造成影響。,"Westwood Bl, Kinross Av 오른쪽, Veteran Bl 왼쪽을 경유하여 운행되도록 동쪽 방면으로 서비스가 변경됩니다.",Wilshire Bl/Westwood Bl의 Purple Line Extension의 건설로 인한 지연을 방지하기 위한 조치입니다.,運行は東行きに変更され、Westwood Blを経由し、Kinross Avを右折、Veteran Blを左折します。,Wilshire Bl/Westwood BlでのPurple Line延長工事の影響による遅延の回避。,"обслуживание в восточном направлении будет изменено, и автобусы будут двигаться через Westwood Bl направо на Kinross Av и налево на Veteran Bl.","исключить задержки ввиду того, что строительство продолжения фиолетовой ветки затрагивает Wilshire Bl/Westwood Bl.","Tần suất phục vụ sẽ thay đổi về phía đông để đi qua Westwood Bl, rẽ phải tại Kinross Av, rẽ trái tại Veteran Bl.",Tránh chậm trễ do ảnh hưởng của việc xây dựng Purple Line Extension tại Wilshire Bl/Westwood Bl.
75,603,603_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
76,617,617_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
77,662,662_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
78,720,720_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
79,754,754_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
80,761,761_TT_12-10-23.pdf,,New discharge bus stop on southbound Sepulveda Bl/Exposition Bl.,More convenient access to Expo/Sepulveda Station,Nueva parada de autobús hacia el sur de Sepulveda Bl/Exposition Bl.,Ofrecer un acceso más conveniente a la estación Expo/Sepulveda,Նոր բեռնաթափման ավտոբուսի կանգառ հարավային Sepulveda Bl/Exposition BlÉ,ավելի հարմար մուտք դեպի Expo/Sepulveda Station,在南向Sepulveda Bl/Exposition Bl增設新的公車停靠站。,前往Expo/Sepulveda Station更加便利,남부 방면 Sepulveda Bl/Exposition Bl에 신규 버스 정류장이 개설되었습니다.,Expo/Sepulveda Sation의 접근성 편의를 위한 조치입니다.,南行きSepulveda Bl/Exposition Blに新しい降車バス停が設置されます。,Expo/Sepulveda Stationへのアクセス向上,новая остановка для высадки пассажиров на южном направлении на перекрестке Sepulveda Bl/Exposition Bl.,обеспечить более удобный доступ к станции Expo/Sepulveda,Điểm xe buýt dừng trả khách mới ở phía nam Sepulveda Bl/Exposition Bl.,Đến Expo/Sepulveda Station thuận tiện hơn
81,801,801_TT_12-10-23.pdf,,"Weekday peak hour trains will operate every 8 minutes instead of 10 minutes. Weekday midday and Saturday/Sunday 9am to 7pm trains will operate every 10 minutes instead of 12 minutes. Two additional trains will be added at the end of the nightly schedule each direction on both the A and E lines, extending service by an extra 40 minutes each night, weekdays and weekends, with much-requested later last departures from Long Beach, APU Citrus (Azusa), and Santa Monica after 11:30pm.",,"Los trenes en horas pico entre semana operarán cada 8 minutos en lugar de cada 10 minutos.
Los trenes entre semana al medio día, y los sábados y domingos de 9 a. m. a 7 p. m., operarán cada 10 minutos en lugar de cada 12 minutos.
Se agregarán dos trenes adicionales al final del horario nocturno en ambas direcciones de la A Line y la E Line, con lo cual se ampliará el servicio 40 minutos más cada noche, entre semana y los fines de semana, con un servicio más tarde tan solicitado con 
salidas desde Long Beach, APU Citrus
(Azusa) y Santa Monica, después de las 11:30 p. m.",,"Շաբաթվա պիկ ժամերին գնացքները կաշխատեն 8 րոպեն մեկ՝ 10 րոպեի փոխարեն: 
Շաբաթվա կեսօր և շաբաթ/կիրակի օրերին առավոտյան 9-ից մինչև երեկոյան 7-ը գնացքները կաշխատեն 10 րոպեն մեկ՝ 12 րոպեի փոխարեն:
Երկու հավելյալ գնացք կավելացվի գիշերային գրաֆիկի ավարտին յուրաքանչյուր ուղղությամբ A և E line-երի վրա՝ երկարացնելով ծառայությունը հավելյալ 40 րոպեով ամեն գիշեր, աշխատանքային օրերին և հանգստյան օրերին, շատ պահանջված ուշ ժամերին վերջին 
մեկնումներով Long Beach-ից, APU Citrus-ից
(Azusa) և  Santa Monica-ից երեկոյան 23:30-ից հետո:",,"平日尖峰時段的列車發車間隔將從每10分鐘一班改為每8分鐘一班。平日午間和週六/週日上午9點至晚上7點的列車發車間隔將從每12分鐘一班改為每10分鐘一班。 A Line與E Line夜間時刻表將加開兩班雙向末班列車，每晚、平日與週末行駛時間往後延長40分鐘，以因應需求高的夜班車，這些車班會在晚上11:30過後行經Long Beach、APU Citrus
(Azusa) 以及Santa Monica，將之前的末班車時間往後延。",,"평일 피크 시간대에 열차는 10분 대신 8분 간격으로 운행됩니다. 
평일 정오 및 토요일/일요일 오전 9시~오후 7시에 열차는 12분 대신 10분 간격으로 운행됩니다. 
A, E Line 모두 야간 운행 시간대 마지막에 방향별로 2편의 열차가 증편되어 평일과 주말 모두 매일 밤 운행 시간이 40분씩 추가로 연장되며, 요청이 많았던 Long Beach, APU Citrus(Azusa), 및 Santa Monica 의 마지막 배차가 오후 11시 30분 이후로 조정됩니다.",,平日のピーク時は10分間隔から8分間隔に変更されます。平日の昼間および土日の午前9時から午後7時までは12分間隔から10分間隔に変更されます。A LineとE Lineの夜間ダイヤの最後にそれぞれ2本ずつ追加され、平日・週末を問わず毎晩40分延長され、要望の多かったLong Beach、APU Citrus（Azusa）、Santa Monica発の最終時刻を午後11時30分以降に遅らせます。,,"В часы пик по будним дням поезда будут курсировать с промежутком 8 минут вместо 10.
В обеденное время по будним дням, а также с 9:00 до 19:00 по субботам/воскресеньям поезда будут курсировать с промежутком 10 минут вместо 12. В ночное расписание на маршруты A и E Line будут добавлены два дополнительных поезда в каждом направлении, что позволит продлить время обслуживания еще на 40 минут в будни и выходные дни, при этом по многочисленным просьбам пассажиров последние поезда
будут отправляться от станций Long Beach, APU Citrus
(Azusa) и Santa Monica после 23:30.",,"Vào giờ cao điểm trong ngày thường, tàu sẽ chạy với tần suất 8 phút/chuyến thay vì 10 phút.
Vào buổi trưa ngày thường và từ 9 giờ sáng đến 7 giờ chiều Thứ Bảy/Chủ Nhật, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 12 phút.
Sẽ có thêm hai chuyến tàu được bổ sung vào cuối lịch trình hàng đêm mỗi chiều trên cả line A và E, kéo dài thời gian dịch vụ thêm 40 phút mỗi đêm, trong cả ngày thường và ngày cuối tuần, với các chuyến muộn nhất theo yêu cầu của nhiều hành khách sẽ khởi hành muộn hơn
từ Long Beach, APU Citrus
(Azusa) và Santa Monica sau 11:30 đêm.",
82,803,803_TT_12-10-23.pdf,,Weekday midday and Saturday/Sunday 9 am to 7 pm trains will operate every 10 minutes instead of 15 minutes.,,"Entre semana al mediodía y los sábados y domingos, de 9 a. m. a 7 p. m., los trenes operarán cada 10 minutos en lugar de cada 15 minutos.",,Շաբաթվա օրերին կեսօրը և շաբաթ/կիրակի առավոտյան 9-ից մինչև երեկոյան 7-ը գնացքները կաշխատեն 15 րոպեի փոխարեն 10 րոպեն մեկ:,,平日午間和週六/週日上午9點至晚上7點的列車發車間隔將從每15分鐘一班改為每10分鐘一班。,,평일 정오 및 토요일/일요일 오전 9시~오후 7시에 열차는 15분이 아닌 10분 간격으로 운행됩니다.,,平日昼間および土曜・日曜の午前9時から午後7時までは15分間隔から10分間隔に変更されます。,,"В обеденное время по будням, а также с 9:00 до 19:00 по субботам/воскресеньям поезда будут курсировать с промежутком 10 минут вместо 15.",,"Vào buổi trưa ngày thường và từ 9 giờ sáng đến 7 giờ tối Thứ Bảy/Chủ Nhật, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 15 phút. ​",
83,804,804_TT_12-10-23.pdf,,"Weekday peak hour trains will operate every 8 minutes instead of 10 minutes. Weekday midday and Saturday/Sunday 9am to 7pm trains will operate every 10 minutes instead of 12 minutes. Two additional trains will be added at the end of the nightly schedule each direction on both the A and E lines, extending service by an extra 40 minutes each night, weekdays and weekends, with much-requested later last departures from Long Beach, APU Citrus (Azusa), and Santa Monica after 11:30pm.",,"Los trenes en horas pico entre semana operarán cada 8 minutos en lugar de cada 10 minutos.
Los trenes entre semana al medio día, y los sábados y domingos de 9 a. m. a 7 p. m., operarán cada 10 minutos en lugar de cada 12 minutos.
Se agregarán dos trenes adicionales al final del horario nocturno en ambas direcciones de la A Line y la E Line, con lo cual se ampliará el servicio 40 minutos más cada noche, entre semana y los fines de semana, con un servicio más tarde tan solicitado con 
salidas desde Long Beach, APU Citrus
(Azusa) y Santa Monica, después de las 11:30 p. m.",,"Շաբաթվա պիկ ժամերին գնացքները կաշխատեն 8 րոպեն մեկ՝ 10 րոպեի փոխարեն: 
Շաբաթվա կեսօր և շաբաթ/կիրակի օրերին առավոտյան 9-ից մինչև երեկոյան 7-ը գնացքները կաշխատեն 10 րոպեն մեկ՝ 12 րոպեի փոխարեն:
Երկու հավելյալ գնացք կավելացվի գիշերային գրաֆիկի ավարտին յուրաքանչյուր ուղղությամբ A և E line-երի վրա՝ երկարացնելով ծառայությունը հավելյալ 40 րոպեով ամեն գիշեր, աշխատանքային օրերին և հանգստյան օրերին, շատ պահանջված ուշ ժամերին վերջին 
մեկնումներով Long Beach-ից, APU Citrus-ից
(Azusa) և  Santa Monica-ից երեկոյան 23:30-ից հետո:",,"平日尖峰時段的列車發車間隔將從每10分鐘一班改為每8分鐘一班。平日午間和週六/週日上午9點至晚上7點的列車發車間隔將從每12分鐘一班改為每10分鐘一班。 A Line與E Line夜間時刻表將加開兩班雙向末班列車，每晚、平日與週末行駛時間往後延長40分鐘，以因應需求高的夜班車，這些車班會在晚上11:30過後行經Long Beach、APU Citrus
(Azusa) 以及Santa Monica，將之前的末班車時間往後延。",,"평일 피크 시간대에 열차는 10분 대신 8분 간격으로 운행됩니다. 
평일 정오 및 토요일/일요일 오전 9시~오후 7시에 열차는 12분 대신 10분 간격으로 운행됩니다. 
A, E Line 모두 야간 운행 시간대 마지막에 방향별로 2편의 열차가 증편되어 평일과 주말 모두 매일 밤 운행 시간이 40분씩 추가로 연장되며, 요청이 많았던 Long Beach, APU Citrus(Azusa), 및 Santa Monica 의 마지막 배차가 오후 11시 30분 이후로 조정됩니다.",,平日のピーク時は10分間隔から8分間隔に変更されます。平日の昼間および土日の午前9時から午後7時までは12分間隔から10分間隔に変更されます。A LineとE Lineの夜間ダイヤの最後にそれぞれ2本ずつ追加され、平日・週末を問わず毎晩40分延長され、要望の多かったLong Beach、APU Citrus（Azusa）、Santa Monica発の最終時刻を午後11時30分以降に遅らせます。,,"В часы пик по будним дням поезда будут курсировать с промежутком 8 минут вместо 10.
В обеденное время по будним дням, а также с 9:00 до 19:00 по субботам/воскресеньям поезда будут курсировать с промежутком 10 минут вместо 12. В ночное расписание на маршруты A и E Line будут добавлены два дополнительных поезда в каждом направлении, что позволит продлить время обслуживания еще на 40 минут в будни и выходные дни, при этом по многочисленным просьбам пассажиров последние поезда
будут отправляться от станций Long Beach, APU Citrus
(Azusa) и Santa Monica после 23:30.",,"Vào giờ cao điểm trong ngày thường, tàu sẽ chạy với tần suất 8 phút/chuyến thay vì 10 phút.
Vào buổi trưa ngày thường và từ 9 giờ sáng đến 7 giờ chiều Thứ Bảy/Chủ Nhật, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 12 phút.
Sẽ có thêm hai chuyến tàu được bổ sung vào cuối lịch trình hàng đêm mỗi chiều trên cả line A và E, kéo dài thời gian dịch vụ thêm 40 phút mỗi đêm, trong cả ngày thường và ngày cuối tuần, với các chuyến muộn nhất theo yêu cầu của nhiều hành khách sẽ khởi hành muộn hơn
từ Long Beach, APU Citrus
(Azusa) và Santa Monica sau 11:30 đêm.",
84,807,807_TT_12-10-23.pdf,,"Weekday midday trains will operate every 10 minutes instead of 12 minutes.
Note: K Line weekend service, trains will operate every 20 minutes all day Saturday and Sunday due to construction and testing work to connect the C and K Lines and new LAX/Metro Transit Center Station (scheduled opening end of 2024).",,"Entre semana al mediodía, los trenes operarán cada 10 minutos en lugar de cada 12 minutos.
Nota: Para el servicio de fin de semana de la K Line, los trenes operarán cada 20 minutos todo el día los sábados y domingos debido a los trabajos de construcción y pruebas para conectar la C Line y la K Line y la nueva estación LAX/Metro Transit Center (apertura programada para finales de 2024).",,"Շաբաթվա կեսօրվա գնացքները կաշխատեն 10 րոպեն մեկ՝ 12 րոպեի փոխարեն:
Նշում․ շաբաթավերջին K Line ծառայությունը, գնացքները կաշխատեն ամեն 20 րոպեն մեկ ամբողջ օրը շաբաթ և կիրակի՝ C և K Line-երը և նոր LAX/Metro Transit Center Station-ը միացնելու շինարարական և փորձարարական աշխատանքների պատճառով (պլանավորված բացումը 2024 թ.-ի վերջ):",,平日午間列車的發車間隔將從每12分鐘一班改為每10分鐘一班。附註：K Line的週末營運由於連接C Line和K Line與新LAX/Metro Transit Center Station（預定於2024年底開通）的施工及測試作業，列車在週六和週日全天的發車間隔是20分鐘。,,"평일 정오에 열차는 12분이 아닌 10분의 간격으로 운행됩니다.
참고: K Line 주말 서비스 및 열차는 C 및 K Line과 신규 LAX/Metro Transit Center 역(2024년 말 개장 예정) 연결 작업 건설 및 시범 운행으로 인해 토요일 및 일요일은 하루종일 20분마다 운행됩니다.",,平日昼間は12分間隔から10分間隔に変更されます。注：週末のK Line運行については、C LineとK LineおよびLAX/Metro Transit Center Station（2024年末開業予定）の建設・試験工事のため、土日は終日20分間隔で運行します。,,"Днем в будни поезда будут курсировать каждые 10 минут вместо 12.
Примечание: на маршруте K Line по субботам и воскресеньям поезда будут курсировать каждые 20 минут по причине строительства и испытания соединения маршрутов C и K Line с новой станцией LAX/Metro Transit Center (открытие запланировано на конец 2024 года).",,"Vào buổi trưa ngày thường, tàu sẽ chạy với tần suất 10 phút/chuyến thay vì 12 phút.
Lưu ý: Với dịch vụ cuối tuần của Line K, tàu sẽ chạy với tần suất 20 phút/chuyến suốt cả ngày Thứ Bảy và Chủ Nhật do công việc thi công và thử nghiệm để kết nối các Line C và K với LAX/Metro Transit Center Station mới (dự kiến mở cửa hoạt động vào cuối năm 2024).",
85,857,857_TT_12-10-23.pdf,,Will increase weekday midday service to every 10 minutes and reduce daytime weekends from every 12 minute to every 20 minutes.,To maintain connections for all K Line trains to/from the C Line.,"Aumentará el servicio del mediodía entre semana a cada 10 minutos y se reducirá durante el día los fines de semana, de cada 12 minutos a cada 20 minutos.",Mantener las conexiones de todos los trenes de la K Line desde y hacia la C Line,"Կավելացվի աշխատանքային օրվա կեսօրվա սպասարկումը մինչև յուրաքանչյուր 10 րոպե, իսկ ցերեկային հանգստյան օրերը կնվազեցնի յուրաքանչյուր 12 րոպեից մինչև 20 րոպե:",պահպանել կապը բոլոր K Line գնացքների համար C Line-ի հետ:,平日午間班次將會增加，發車間隔縮短為每10分鐘一班，週末白天的班次則會減少，發車間隔從每12分鐘一班延長為每20分鐘一班。,使K Line列車跟C Line列車之間的往來連接路線保持順暢。,평일 정오 운행 서비스를 증편해 10분마다 운행하고 주말 주간 운행 간격을 12분에서 20분으로 줄입니다.,C Line을 오가는 K Line 열차의 연결성을 유지하기 위한 조치입니다.,平日昼間の運行を10分間隔に増便し、週末昼間の運行を12分間隔から20分間隔に短縮します。,K Line全列車のC Lineとの接続を維持するため。,"время прибытия автобусов в обед по будням будет сокращено до 10 минут, а в дневное время по выходным — увеличено с 12 минут до 20.",обеспечить пересадку на поезда между ветками K Line и C Line.,Sẽ tăng tần suất phục vụ vào buổi trưa ngày thường lên 10 phút/chuyến và giảm tần suất vào ban ngày cuối tuần từ 12 phút/chuyến xuống 20 phút/chuyến.,Để duy trì kết nối cho tất cả các chuyến tàu Line K đến/từ Line C.
86,910,910_TT_12-10-23.pdf,,"Additional trip departing
El Monte Station added at 10:49 pm on weeknights and weekends to Downtown LA and
Harbor Gateway Transit Center, extending the period with 20-minute service later. The LAC USC
Medical Center Busway Station will be renamed LA General Medical Ctr Station.",Accommodate increased ridership.,"Viaje adicional desde la 
estación El Monte agregado a las 10:49 p. m., las noches entre semana y los fines de semana a Downtown LA y
Harbor Gateway Transit Center, para extender el periodo de servicio por 20 minutos. La estación de autobús LAC USC Medical Center será renombrada
Estación LA General Medical Ctr.",Satisfacer las demandas de una mayor cantidad de pasajeros,"El Monte Station-ից մեկնող լրացուցիչ ուղևորություն ավելացվել է շաբաթ և կիրակի օրերին երեկոյան 22:49-ին  Downtown LA-ում և
Harbor Gateway Transit Center-ում՝ երկարացնելով սպասարկման ժամը 20 րոպեով: LAC USC 
Medical Center Busway Station-ը կվերանվանվի LA General Medical Ctr Station-ի։",ապահովել ուղևորահոսքի ավելացում։,"額外加開平日晚上10:49和週末從El Monte Station離站前往Downtown LA和
Harbor Gateway Transit Center的班次，此班次行駛時間拉長20分鐘。
LAC USC Medical Center Busway Station將更名為LA General Medical Ctr Station。",因應增加的載客量。,"El Monte Station을 출발해 
Downtown LA and Harbor Gateway Transit Center로 향하는 추가 운행편이
 평일 야간과 주말 오후 10시 49분에 증편되어 이후에는 서비스 운행 시간이 20분 연장됩니다. LAC USC 
Medical Center Busway Station의 이름이 LA General Medical Ctr Station으로 변경됩니다.",탑승객 수 증가에 따른 조정 조치입니다.,El Monte Stationを平日夜10時49分に出発し、Downtown LAおよびHarbor Gateway Transit Centerへ向かう便が追加され、20分遅れで運行されます。LAC USC Medical Center Busway Stationは、LA General Medical Ctr Stationと改名されます。,利用者の増加に対応するため。,"добавлен дополнительный рейс от станции
El Monte до Downtown LA и
Harbor Gateway Transit Center в 22:49 по будням и выходным, что продлевает время обслуживания на 20 минут. Название станции LAC USC Medical Center Busway будет изменено на 
LA General Medical Ctr.",обеспечить перевозку большего количества пассажиров.,"Chuyến bổ sung khởi hành từ
El Monte Station lúc 10:49 tối vào các buổi tối ngày thường và ngày cuối tuần tới Downtown LA và
Harbor Gateway Transit Center, kéo dài thời gian phục vụ thêm 20 phút. LAC USC
Medical Center Busway Station sẽ được đổi tên thành LA General Medical Ctr Station.",Đáp ứng lượng hành khách tăng cao.
